home_type,address,city,zip,bedrooms,bathrooms,latitude,longitude,zillow_id,property_size,home_size,last_sold_price,last_sold_date,year_built,home_description,last_sold_year,last_sold_month,date_of_purchase,lot_coverage,tokens,lda_k5_0,lda_k5_1,lda_k5_2,lda_k5_3,lda_k5_4
Single Family Residential,2205 Pullman Ave,Belmont,94002.0,2.0,2.0,37.513689,-122.298198,15548949,10650.0,1059.0,1260000.0,2016-08-08,1954.0,"Desirable Haskins Estates home, with two bedrooms, two baths, and a bonus rumpus room on  a spacious lot with gorgeous views. Perfect layout with light-filled rooms, and a complete sense of privacy. House features updated kitchen with stainless steel appliances, granite countertops,living room with fireplace, separate formal dining area, open entry way, two bedrooms that lead to a deck overlooking the large yard - perfect for entertaining. Additional bonus room gives that extra space with additional storage area. Refinished hardwood floors, recessed lighting,double-pane windows, and updated bathrooms. Perfectly situated in Belmont, close to top rated schools and Carlmont Shopping center.",2016,8,1315,0.0994366197183,"[u'desirable', u'haskins', u'estate', u'bedroom', u'bathroom', u'bonus', u'rumpus', u'room', u'spacious', u'lot', u'gorgeous', u'view', u'perfect', u'layout', u'light', u'fill', u'room', u'complete', u'sense', u'privacy', u'feature', u'update', u'kitchen', u'stainless', u'steel', u'appliance', u'granite', u'countertop', u'live', u'room', u'fireplace', u'separate', u'formal', u'dining', u'area', u'open', u'entry', u'way', u'bedroom', u'lead', u'deck', u'overlook', u'large', u'yard', u'perfect', u'entertaining', u'additional', u'bonus', u'room', u'give', u'extra', u'space', u'additional', u'storage', u'area', u'refinish', u'hardwood', u'floor', u'recess', u'light', u'double', u'pane', u'window', u'update', u'bathroom', u'perfectly', u'situate', u'close', u'rat', u'school', u'carlmont', u'shop', u'center']",0.0,0.0,0.318209079711,0.281778217215,0.389981327998
Single Family Residential,1060 Furlong St,Belmont,94002.0,3.0,1.0,37.521589,-122.27315,15540441,5320.0,1090.0,1250000.0,2016-04-25,1947.0,"This home as been upgraded with new paint throughout, new plumbing, refinished hardwood floors, completely renovated bathroom with tiled, walk-in shower.",2016,4,1210,0.204887218045,"[u'upgrade', u'new', u'paint', u'new', u'plumbing', u'refinish', u'hardwood', u'floor', u'completely', u'renovated', u'bathroom', u'tile', u'walk', u'shower']",0.0224347176373,0.022343038,0.91060571001,0.0222819370369,0.022334597316
Single Family Residential,414 Cornish Way,Belmont,94002.0,4.0,2.0,37.526414,-122.274455,15540340,5009.0,1840.0,1440000.0,2016-04-28,1952.0,"Gorgeous modern charmer located in Sterling Downs. Updates include wood floors, granite slab counters with accented backsplash, stainless steel appliances. Updates abound including newer interior and exterior paint, new doors, windows, remodeled kitchen with stainless steel appliances and granite countertops, remodeled bathrooms, designed wood-burning fireplace in the family room and gas fireplace in the master bedroom. Enormous upper level master suite includes remodeled master bath and walk-in closet. The back yard is a dream with beautiful areas for entertaining. Get away from it all in your own private sauna or hot tub. 2 car garage with inside access. Low maintenance landscaping and automatic sprinklers. Wide concrete driveway, designed front yard.  Excellent location, walk to award-winning schools and close to Cal-train, minutes from 101, and other amenities. This remarkable home has it ALL!!! Open for a twilight tour this Thursday from 5:30 pm to 7 pm. Ready to show.",2016,4,1213,0.183669395089,"[u'gorgeous', u'modern', u'charmer', u'locate', u'sterling', u'down', u'update', u'include', u'wood', u'floor', u'granite', u'slab', u'counter', u'accent', u'backsplash', u'stainless', u'steel', u'appliance', u'update', u'abound', u'include', u'new', u'interior', u'exterior', u'paint', u'new', u'door', u'windows', u'remodel', u'kitchen', u'stainless', u'steel', u'appliance', u'granite', u'countertop', u'remodel', u'bathroom', u'design', u'wood', u'burn', u'fireplace', u'family', u'room', u'ga', u'fireplace', u'master', u'bedroom', u'enormous', u'upper', u'level', u'master', u'suite', u'include', u'remodel', u'master', u'bathroom', u'walk', u'closet', u'yard', u'dream', u'beautiful', u'area', u'entertain', u'away', u'private', u'sauna', u'hot', u'tub', u'car', u'garage', u'inside', u'access', u'low', u'maintenance', u'landscaping', u'automatic', u'sprinkler', u'wide', u'concrete', u'driveway', u'design', u'yard', u'excellent', u'location', u'walk', u'award', u'win', u'school', u'close', u'cal', u'train', u'minute', u'amenities', u'remarkable', u'open', u'twilight', u'tour', u'ready']",0.0,0.0,0.830705535536,0.0982941088527,0.0640056284796
Single Family Residential,1622 King St,Belmont,94002.0,4.0,3.0,37.513264,-122.270265,15550488,5702.0,1780.0,1445000.0,2016-04-28,1966.0,"Views and location a delightful home with fresh paint throughout, Living room & dining room combination lots of open space patio with views. Remodeled kitchen & all new appliances with cozy breakfast nook & view of private rear yard with three generous sized bedrooms including large master suite two closets, updated baths, good closet space throughout the home. Full two car garage with laundry area or a second laundry in the family room/ media room, & Full half bath. Great street and location in Belmont few homes on this quiet cul-de-sac. Driveway offers additional ample parking; in heart of highly desirable area of Belmont, new decking and all new look to the back yard; near award winning schools and shopping center with Peets Coffee and Tea, farmers market and Safeway all nearby. Easy access to 101 and great for commuting on CalTrain.",2016,4,1213,0.156085584006,"[u'view', u'location', u'delightful', u'fresh', u'paint', u'living', u'room', u'dining', u'room', u'combination', u'lot', u'open', u'space', u'patio', u'view', u'remodel', u'kitchen', u'new', u'appliance', u'cozy', u'breakfast', u'nook', u'view', u'private', u'rear', u'yard', u'generous', u'sized', u'bedroom', u'include', u'large', u'master', u'suite', u'closet', u'updated', u'bathroom', u'good', u'closet', u'space', u'car', u'garage', u'laundry', u'area', u'second', u'laundry', u'family', u'room', u'medium', u'room', u'half', u'bathroom', u'great', u'street', u'location', u'home', u'quiet', u'cul', u'sac', u'driveway', u'offer', u'additional', u'ample', u'parking', u'heart', u'highly', u'desirable', u'area', u'new', u'deck', u'new', u'look', u'yard', u'near', u'award', u'win', u'school', u'shop', u'center', u'peets', u'coffee', u'tea', u'farmer', u'market', u'safeway', u'nearby', u'easy', u'access', u'great', u'commuting', u'caltrain']",0.0,0.0,0.0,0.0,0.98326018865
Single Family Residential,1681 Sunnyslope Ave,Belmont,94002.0,3.0,2.0,37.512351,-122.270328,15550496,5270.0,1690.0,1400000.0,2016-05-27,1949.0,"Spectacular Bay Views & Great Neighborhood! Located in desirable Bay View Heights on a quiet cul-de-Sac; Spacious LR w/central FP, picture windows overlooking newer deck & sweeping bay views; Dining area off Kit. opens to lg. deck w/expansive views of bay & city lights; Newly updated Kit. w/granite counters, overhead lighting & new flooring; 2BR, 1 remod. bath on main level, big MBR & remod. bath on lower level, opens to 2nd deck w/views & large backyard; 2 car garage w/auto opener & storage; Attractive random plank oak hardwood floors in LR,DR & hall; New electrical service & new F/A furnace & ducting; Quiet Neighborhood w/highly rated public schools; Conveniently located near both Belmont & San Carlos downtowns, rail transportation & many restaurants. Great property & Great price!",2016,5,1242,0.320683111954,"[u'spectacular', u'bay', u'view', u'great', u'neighborhood', u'locate', u'desirable', u'bay', u'view', u'height', u'quiet', u'cul', u'sac', u'spacious', u'living', u'room', u'central', u'fireplace', u'picture', u'window', u'overlook', u'new', u'deck', u'sweep', u'bay', u'view', u'dining', u'area', u'kitchen', u'open', u'large', u'deck', u'expansive', u'view', u'bay', u'light', u'newly', u'update', u'kitchen', u'granite', u'counter', u'overhead', u'light', u'new', u'flooring', u'bedroom', u'remod', u'bathroom', u'main', u'level', u'big', u'master', u'bedroom', u'remod', u'bathroom', u'low', u'level', u'open', u'deck', u'view', u'large', u'backyard', u'car', u'garage', u'auto', u'opener', u'storage', u'attractive', u'random', u'plank', u'oak', u'hardwood', u'floor', u'live', u'room', u'dining', u'room', u'hall', u'new', u'electrical', u'service', u'new', u'fa', u'furnace', u'ducting', u'quiet', u'neighborhood', u'highly', u'rat', u'public', u'school', u'conveniently', u'locate', u'near', u'downtown', u'rail', u'transportation', u'restaurant', u'great', u'property', u'great', u'price']",0.309071613187,0.0,0.277284126666,0.0,0.405583558076
Single Family Residential,3812 Naughton Ave,Belmont,94002.0,3.0,3.0,37.514514,-122.318549,15545511,4499.0,1980.0,1350000.0,2014-04-11,1965.0,"Sweeping views from Belmont to San Francisco highlight this remodel Belmont Country Club home located near the end of a quiet street. Home has been remodeled throughout, Oak Lava hardwood floors, Tiled kitchen and bathrooms, new carpet in the oversized family/media room. Two stone fireplaces, new garage door, two view decks and master bedroom suite with his and her closets. BIG Storage Basement!",2014,4,465,0.220048899756,"[u'sweeping', u'view', u'francisco', u'highlight', u'remodel', u'country', u'club', u'locate', u'near', u'end', u'quiet', u'street', u'remodel', u'oak', u'lava', u'hardwood', u'floor', u'tile', u'kitchen', u'bathroom', u'new', u'carpet', u'oversized', u'family', u'medium', u'room', u'stone', u'fireplace', u'new', u'garage', u'door', u'view', u'deck', u'master', u'bedroom', u'suite', u'closet', u'big', u'storage', u'basement']",0.0,0.138897976225,0.327070243087,0.514324323043,0.0
Single Family Residential,40 Meadow Park Cir,Belmont,94002.0,3.0,2.5,37.506874,-122.320157,15546973,2120.0,2120.0,1500000.0,2016-04-18,1972.0,"For Virtual Tour:  www.tourfactory.com/1505190   Located in a much sought- after Belmont Heights community surrounded by trails, parks, and easy access to freeways 280 and 101, and in close proximity to shopping and restaurants, this home offers Bay Area living at its best. The main level houses the living room with wood burning fireplace, high ceiling and a floor to ceiling window to enjoy the panoramic views of the Bay, a dining area that opens to a deck, a remodeled kitchen with granite counters and recessed lighting, a family room/den with bar, and a powder room. The entire main floor has gleaming Santos mahogany hardwood floors. The Master Bedroom has the upstairs all to itself with a fireplace, a private deck, a shower bath, and his & her closets. Two large bedrooms and a 
spacious bathroom with tub/shower occupy the downstairs. There is a direct access to the landscaped back yard from the deck on this level. The home is 
tastefully decorated, with faux painting in the living room and powder room, and wainscoting in the family room. The surrounding expansive and 
well-manicured lawns, and trees add beauty and tranquility to this home. There are two community pools and a cabana on the premises. A unique feature of this home is a vast storage area underneath the house that is finished and tiered for easy and orderly storage.",2016,4,1203,0.333333333333,"[u' ', u'locate', u'seek', u'height', u'community', u'surround', u'trail', u'park', u'easy', u'access', u'freeway', u'close', u'proximity', u'shopping', u'restaurant', u'offer', u'bay', u'area', u'live', u'best', u'main', u'level', u'house', u'live', u'room', u'wood', u'burn', u'fireplace', u'high', u'ceiling', u'floor', u'ceiling', u'window', u'enjoy', u'panoramic', u'view', u'bay', u'dining', u'area', u'open', u'deck', u'remodel', u'kitchen', u'granite', u'counter', u'recess', u'light', u'family', u'room', u'den', u'bar', u'powder', u'room', u'entire', u'main', u'floor', u'gleam', u'santos', u'mahogany', u'hardwood', u'floor', u'master', u'bedroom', u'upstairs', u'fireplace', u'private', u'deck', u'shower', u'bathroom', u'closet', u'large', u'bedroom', u'spacious', u'bathroom', u'tub', u'shower', u'occupy', u'downstairs', u'direct', u'access', u'landscaped', u'yard', u'deck', u'level', u'tastefully', u'decorate', u'faux', u'painting', u'live', u'room', u'powder', u'room', u'wainscoting', u'family', u'room', u'surround', u'expansive', u'manicured', u'lawn', u'tree', u'add', u'beauty', u'tranquility', u'community', u'pool', u'cabana', u'premise', u'unique', u'feature', u'vast', u'storage', u'area', u'underneath', u'finish', u'tiered', u'easy', u'orderly', u'storage']",0.528517528994,0.0,0.0,0.19342014594,0.27212425783
Single Family Residential,3406 Plateau Dr,Belmont,94002.0,3.0,2.0,37.516197,-122.316695,15545573,5488.0,1400.0,1525000.0,2016-04-19,1959.0,"Picture Perfect Sunny Rancher Upgraded thru-out!  Meticulous Fenced Level Backyard with Aggregate Patio, Water fall, and Storage Shed accessed both Master BR and Family Room off Inviting Kitchen with Abundant Cabinets, Counter Space & Gas Cooktop.  Quality thru-out with Recessed LED lighting, Hdwd & Tiled Floors, Crown Molding, Central Heat & Central Air, Jetted Tub, Windows & Sliding Doors all Double Paned Vinyl plus numerous other upgrades in this Charming Home lovingly tended to for 30 years!  Enjoy the Excellent Schools & Convenient Location of this Pristine Property for Easy Living!",2016,4,1204,0.255102040816,"[u'picture', u'perfect', u'sunny', u'rancher', u'upgrade', u'meticulous', u'fence', u'level', u'backyard', u'aggregate', u'patio', u'water', u'fall', u'storage', u'shed', u'access', u'master', u'bedroom', u'family', u'room', u'invite', u'kitchen', u'abundant', u'cabinet', u'counter', u'space', u'ga', u'cooktop', u'quality', u'recess', u'lead', u'light', u'hardwood', u'tiled', u'floor', u'crown', u'mold', u'central', u'heat', u'central', u'air', u'jet', u'tub', u'window', u'slide', u'door', u'double', u'pan', u'vinyl', u'plus', u'numerous', u'upgrade', u'charm', u'lovingly', u'tend', u'year', u'enjoy', u'excellent', u'school', u'convenient', u'location', u'pristine', u'property', u'easy', u'live']",0.0,0.0,0.776117240042,0.205867684253,0.0
Single Family Residential,3403 Lower Lock Ave,Belmont,94002.0,3.0,2.0,37.516912,-122.317309,15545565,5445.0,1540.0,1550000.0,2016-05-20,1964.0,"This SPECIAL home awaits you. Come home from a long day to have dinner on the front patio enjoying the VIEWS, both hills and city lights. Open and airy living room with FP and vaulted ceilings. Kitchen with SS appliances, quartz counters, breakfast bar and dining with large table....all leading to AWESOME backyard.....mature growth, private, patio for outdoor entertaining, grass  area. SPACIOUS master bedroom suite is so bright! Inside laundry room + BONUS ROOM which has so many possibilities (office, man-cave, crafts, home gym, music room, etc).  EXCELLENT schools! Low traffic street, friendly neighborhood, easy access to hwy 92, 280, even downtown San Carlos and HMB.  A wonderful place to call home.",2016,5,1235,0.282828282828,"[u'special', u'await', u'come', u'long', u'day', u'dinner', u'patio', u'enjoy', u'view', u'light', u'open', u'airy', u'living', u'room', u'fireplace', u'vault', u'ceiling', u'kitchen', u'stainless', u'steel', u'appliance', u'quartz', u'counter', u'breakfast', u'bar', u'dining', u'large', u'table', u'lead', u'awesome', u'backyard', u'mature', u'growth', u'private', u'patio', u'outdoor', u'entertaining', u'grass', u'area', u'spacious', u'master', u'bedroom', u'suite', u'bright', u'inside', u'laundry', u'room', u'bonus', u'room', u'possibility', u'office', u'man', u'cave', u'craft', u'gym', u'music', u'room', u'excellent', u'school', u'low', u'traffic', u'street', u'friendly', u'neighborhood', u'easy', u'access', u'hwy', u'downtown', u'hmb', u'wonderful', u'place']",0.45689581731,0.153653226148,0.0,0.0,0.380483644357
Single Family Residential,3425 Lodge Dr,Belmont,94002.0,3.0,3.0,37.511801,-122.318294,15545624,3900.0,1800.0,1500000.0,2016-05-20,1974.0,"This spacious and updated home is move-in ready! The main level boasts vaulted ceilings, hardwood floors, a spacious living room/dining room combo, updated eat-in kitchen with large skylight overlooking family room, a full bathroom and a laundry room. There are three bedrooms upstairs including a master suite with full bathroom, a play room off of the second bedroom, and a full bathroom off the hallway.    2-car garage, dual pane windows, dual-zone air conditioning, gas fireplace.",2016,5,1235,0.230769230769,"[u'spacious', u'update', u'ready', u'main', u'level', u'boast', u'vault', u'ceiling', u'hardwood', u'floor', u'spacious', u'living', u'room', u'dining', u'room', u'combo', u'update', u'eat', u'kitchen', u'large', u'skylight', u'overlook', u'family', u'room', u'bathroom', u'laundry', u'room', u'bedroom', u'upstairs', u'include', u'master', u'suite', u'bathroom', u'play', u'room', u'second', u'bedroom', u'bathroom', u'hallway', u'car', u'garage', u'dual', u'pane', u'window', u'dual', u'zone', u'air', u'conditioning', u'ga', u'fireplace']",0.3737096288,0.0,0.59974274841,0.0,0.0
Single Family Residential,505 Hiller St,Belmont,94002.0,3.0,2.0,37.52745,-122.278256,15540187,5009.0,1470.0,1380000.0,2016-05-10,1953.0,"Welcome home to this wonderful Sterling Downs starter home which has been thoughtfully updated and expanded to create a smart, modern floor plan. Highlighted features include a spacious master suite with an oversized walk-in closet, two additional bedrooms and bathroom, an updated kitchen opening to a large family room with a vaulted ceiling, an inviting formal living room and finished garage. This home is ideally located near key commuter access points and enjoys easy access to nearby shopping, schools and parks. First open house will take place on Saturday, April 2nd and the second will be Sunday, April 3rd, 1:00-4:00 on both days.",2016,5,1225,0.293471750848,"[u'welcome', u'wonderful', u'sterling', u'down', u'starter', u'thoughtfully', u'update', u'expand', u'create', u'smart', u'modern', u'floor', u'plan', u'highlight', u'feature', u'include', u'spacious', u'master', u'suite', u'oversized', u'walk', u'closet', u'additional', u'bedroom', u'bathroom', u'updated', u'kitchen', u'open', u'large', u'family', u'room', u'vault', u'ceiling', u'invite', u'formal', u'living', u'room', u'finish', u'garage', u'ideally', u'locate', u'near', u'key', u'commuter', u'access', u'point', u'enjoy', u'easy', u'access', u'nearby', u'shopping', u'school', u'park', u'open', u'place', u'second', u'day']",0.0,0.0,0.230941674924,0.30651406784,0.450850545296
